The Commonwealth of Massachusetts,,,,,,,,,,,,,,,,,,,
Executive Office of Health and Human Services,,,,,,,,,,,,,,,,,,,
Department of Public Health,,,,,,,,,,,,,,,,,,,
Division of Health Care Facility Licensure and Certification,,,,,,,,,,,,,,,,,,,
"67 Forest Street, Marlborough, MA 01752",,,,,,,,,,,,,,,,,,,
617-753-8000,,,,,,,,,,,,,,,,,,,
"November 14, 2023",,,,,,,,,,,,,,,,,,,
Massachusetts Licensed Clinics and Services Provided,,,,,,,,,,,,,,,,,,,
"^Facility licensed under a parent facility, call DPH at 617-753-8000 for more information on services provided",,,,,,,,,,,,,,,,,,,
~This clinic is in a non-licensed category and additional information is not provided by DPH.,,,,,,,,,,,,,,,,,,,
* Further information on the services provided by these facilities is forthcoming and will be updated regularly.,,,,,Services Provided,,,,,,,,,,,,,,
Clinic Name,Street,City/Town,Zip Code,Telephone,Lithotripsy,Physical Rehab,Surgical,Alcohol/      Substance Use Disorder,Mental Health,Dental ,Medical,Mobile Medical,Pharmacy,Birth Ctr,Mobile Medical MRI,Mobile Medical Lithotripsy,Radiation,Radiology (MRI),Limited Service
2020 INC,29 GARDEN STREET,EVERETT,02149,(617)356-8117,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
"ABELARD PSYCHOTHERAPY, INC-DEDHAM",30 EASTBROOK ROAD SUITE 103,DEDHAM,02062,(781)344-0057,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"ABELARD PSYCHOTHERAPY, INC-STOUGHTON","450 PEARL STREET, SUITE 2",STOUGHTON,02072,(781)344-0057,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ACA FAMILY COUNSELING SERVICES INC,599 CANAL STREET 5FLW SUITE 12,LAWRENCE,01840,(978)989-9902,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ACADEMY HEALTH CENTER,15 CLAREMONT STREET,WORCESTER,01610,(508)757-7641,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
ACTION COMMUNITY HEALTH CENTER^,130 WATER STREET,FITCHBURG,01420,(978)878-8510,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACTIVE PHYSICAL THERAPY & WELLNESS,2 LODGE LANE,WILBRAHAM,01095,(413)596-5363,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
ADOLESCENT CHILD LIFE CENTER,895 BLUE HILL AVENUE,DORCHESTER,02124,(617)825-3400,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
ADULT DAY TREATMENT CENTER^,330 CRESCENT STREET,BROCKTON,02402,(508)580-8710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADVOCATES COMM COUNSELING-FRAMINGHA,1094 WORCESTER ROAD,FRAMINGHAM,01702,(508)620-0024,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ADVOCATES COMMUNITY COUNSELING,1881 WORCESTER ROAD,FRAMINGHAM,01701,(508)485-9300,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ADVOCATES COMMUNITY COUNSELING,257 AYER ROAD,HARVARD,01451,(978)722-1846,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ADVOCATES COMMUNITY COUNSELING,340 MAPLE STREET 4THFL,MARLBOROUGH,01752,(508)485-9300,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ADVOCATES COMMUNITY COUNSELING,675 MAIN STREET,WALTHAM,02154,(781)893-5117,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
AFC URGENT CARE,"1030 MAIN STREET, UNIT 2",WALTHAM,02451,(781)894-6900,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE,117A STAFFORD STREET,WORCESTER,01603,(508)755-4010,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE,119 COGGESHALL STREET,NEW BEDFORD,02746,(508)990-1900,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE,16 MAIN STREET,STONEHAM,02180,(781)279-4000,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
AFC URGENT CARE,"415 COOLEY STREET, UNIT #3",SPRINGFIELD,01128,(413)782-4878,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE,"90 MIDDLESEX TURNPIKE, UNIT E",BURLINGTON,01803,(781)270-4700,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE ARLINGTON,1398 MASSACHUSETTS AVENUE,ARLINGTON,02476,(781)648-4572,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE BEDFORD,154 GREAT ROAD,BEDFORD,01730,(781)894-6900,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE BEVERLY,50 DODGE STREET GRND FL,BEVERLY,01915,(978)922-2171,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE METHUEN,380R MERRIMACK STREET,METHUEN,01844,(978)975-0700,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE NORTH ANDOVER,129 TURNPIKE STREET,NORTH ANDOVER,01845,(978)470-0800,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFC URGENT CARE SWAMPSCOTT,450 PARADISE ROAD STE B-11,SWAMPSCOTT,01907,(917)767-1104,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
AFRICAN DIASPORA MNTL HLTH ASSOC LL,605 STATE STREET,SPRINGFIELD,01109,(413)262-7414,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
AGAWAM COUNSELING CENTER,30 SOUTHWICK STREET,FEEDING HILLS,01030,(413)732-7419,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
AGEILITY PT SOLUTIONS @ THE GABLES,299 CAMBRIDGE STREEET,WINCHESTER,01890,(781)984-7226,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
ALBERT & JESSIE DANIELSEN INSTITUTE,185 BAY STATE ROAD,BOSTON,02215,(617)353-3047,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ALEGRE DENTAL INC,160 MARKET STREET 1ST FL,LYNN,01901,(617)642-1888,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
ALL CARE WELLNESS INSTITUTE,"2343 PURCHASE STREET, UNIT C",NEW BEDFORD,02746,(781)436-3352,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ALL CARE WELLNESS INSTITUTE,294 PLEASANT STREET SUITE 205,STOUGHTON,02072,(781)436-3352,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"ALLIANCE DENTAL CENTER, LLC","111 WASHINGTON STREET, 3RD FL",QUINCY,02169,(617)987-5300,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
ALLIANCE LIFETIME MENTAL HEALTH INC,15 UNION ST BLDG 5 SUITE 204,LAWRENCE,01840,(978)655-7782,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
