"Clinic Name","Street","City/Town","Zip Code","Telephone","Lithotripsy","Physical Rehab","Surgical","Alcohol/Substance Use Disorder","Mental Health","Dental","Medical","Mobile Medical","Pharmacy","Birth Ctr","Mobile Medical MRI","Mobile Medical Lithotripsy","Radiation","Radiology (MRI)","Limited Service"
"ACADEMY HEALTH CENTER","15 CLAREMONT STREET","WORCESTER","01610","(508)757-7641","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"ACTION COMMUNITY HEALTH CENTER^","130 WATER STREET","FITCHBURG","01420","(978)878-8510","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ADVOCATES COMMUNITY COUNSELING","257 AYER ROAD","HARVARD","01451","(978)722-1846","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"AFC URGENT CARE","117A STAFFORD STREET","WORCESTER","01603","(508)755-4010","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"ARBOUR COUNSELING SERVICES","411 CHANDLER STREET","WORCESTER","01608","(508)322-1503","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"BLUE HILLS RECOVERY","474 GROVE STREET","WORCESTER","01605","(508)403-7877","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"BNBA BEHAVIORAL CENTER","116 BELMONT STREET, SUITE 26","WORCESTER","01605","(508)979-5557","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"BRIDGE COUNSELING CENTER (THE)","288 GROVE STREET, 3RD FL, STE A & B","WORCESTER","01605","(508)755-0333","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"BRIGHAM&WOMEN'S RADIATN ONCOL ASSOC","20 PROSPECT STREET","MILFORD","01757","(508)488-3800","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CARE NET PREGNANCY RESOURCE CTR NOR","515 MAIN STREET, SUITE 1000","FITCHBURG","01420","(978)342-4244","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CAREWELL URGENT CARE - GREENWOOD","348 GREENWOOD STREET","WORCESTER","01607","(617)302-4194","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CAREWELL URGENT CARE - LINCOLN ST","500C LINCOLN STREET","WORCESTER","01605","(978)851-4683","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CAREWELL URGENT CARE - NORTHBOROUGH","333 SW CUTOFF, UNIT 202","NORTHBOROUGH","01532","(508)466-8677","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CAREWELL URGENT CARE CTR-FITCHBURG","380 JOHN FITCH HIGHWAY","FITCHBURG","01420","(978)851-4683","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CARING FOR KIDS","326 NICHOLS ROAD","FITCHBURG","01420","(978)878-8110","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"CEDAR STREET FAMILY CLINIC","340 MAIN STREET SUITE 869","WORCESTER","01608","(508)926-0070","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"CENTRAL MASS CLINICAL ASSOCIATES","12 MALLARD CIRCLE","SHREWSBURY","01545","(508)901-9930","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"CLEARBROOK TREATMENT CENTER MASSACHUSETTS","83 HOSPITAL ROAD","baldwinvile","01436","(978)894-2161","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"CLEARWAY CLINIC","358 SHREWSBURY STREET","WORCESTER","01604","(508)438-0144","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CLINICAL & SUPPORT OPTIONS ATHOL","2033 MAIN STREET, LEVEL 2","ATHOL","01331","(978)249-9490","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"CLINICAL & SUPPORT OPTIONS GARDNER","205 SCHOOL STREET SUITE 301","GARDNER","01440","(978)632-9400","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"COMM HEALTHLINK LIPTON COUNS CENTER","100-110 ERDMAN WAY","LEOMINSTER","01453","(978)534-6116","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"COMM HEALTHLINK LIPTON COUNS CENTER","275 NICHOLS ROAD","FITCHBURG","01420","(978)534-6116","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"COMM HEALTHLINK LIPTON COUNS CENTER","40 SPRUCE STREET, 2ND & 3RD FLOOR","LEOMINSTER","01453","(978)534-6116","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"COMM HEALTHLINK YOUTH & FAMILY SRVS","335 CHANDLER STREET","WORCESTER","01602","(508)791-3261","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"COMMUNITY HEALTH CONNECTIONS FAM HL","326 NICHOLS ROAD","FITCHBURG","01420","(978)665-5901","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No"
"COMMUNITY HEALTHLINK","12 QUEEN ST, 1ST FL & LOWER LEVEL","WORCESTER","01610","(508)756-4354","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No"
"COMMUNITY HEALTHLINK","162 CHANDLER STREET","WORCESTER","01609","(508)860-1080","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No"
"COMMUNITY HEALTHLINK","72 JAQUES AVENUE, 1ST FLOOR","WORCESTER","01610","(508)421-4411","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"CONVENIENTMD URGENT CARE WESTBOROUGH","139 TURNPIKE ROAD","WESTBOROUGH","01581","(508)882-7300","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"CONVIENIENT MD URGENT CARE LEOMINSTER","20 COMMERICAL ROAD, SUITE 2","LEOMINSTER","01453","(978)798-6896","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"COUNSELING & ASSESSMENT CLINIC WORC","33 ELECTRIC AVENUE, SUITE 204","FITCHBURG","01420","(978)696-3035","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"COUNSELING & ASSESSMENT CLINIC WORC","38 FRONT STREET, 5TH FLOOR","WORCESTER","01608","(508)756-5400","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"COUNSELING & ASSESSMENT CLINIC-WORC","255 PARK AVENUE, SUITE 804","WORCESTER","01609","(508)756-5400","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"EDWARD M KENNEDY CHC MILFORD","41 CAPE ROAD","MILFORD","01757","(800)853-2288","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"EDWARD M KENNEDY COMM HC-OPTOMETRY","605 LINCOLN STREET","WORCESTER","01605","(508)852-1805","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"EDWARD M KENNEDY COMMUNITY HEALTH CENTER INC (PORTABLE UNIT)^","WTHS 1 OFFICER MANNY FAMILIA WAY","WORCESTER","01605","(508)854-2122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"EDWARD M KENNEDY COMMUNITY HEALTH CENTER-NORTH HIGH SCHOOL^","140 HARRINGTON WAY","WORCESTER","01604","(508)854-2122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"EDWARD M KENNEDY COMMUNITY HEALTH CENTER-ROOSEVELT SCHOOL^","1006 GRAFTON STREET","WORCESTER","01605","(508)854-2122","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"EDWARD M KENNEDY COMMUNITY HLTH CTR","19 TACOMA STREET","WORCESTER","01605","(508)852-1805","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No"
"EDWARD MKCHC BURNCOAT MIDDLE & SENI","135 BURNCOAT STREET","WORCESTER","01606","(508)854-3266","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"EDWARD MKCHC NORTH HIGH SCHOOL","150 HARRINGTON WAY","WORCESTER","01604","(508)852-1805","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"EDWARD MKCHC WORCESTER TECHNICAL HI","1 OFFICER MANNY FAMILIA WAY","WORCESTER","01605","(508)854-2122","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"FAMILY HEALTH CENTER CENTER OF WORCESTER - HOAP","199 CHANDLER STREET, 4TH FLOOR","WORCESTER","01609","(508)860-7759","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No"
"FAMILY HEALTH CENTER OF WORCESTER I","26 QUEEN ST, GRD 1ST 2ND & 3RD FLS","WORCESTER","01610","(508)756-3528","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No"
